창시작연도,시작일,종료일,거래일수,NDX_CAGR%,현금_CAGR%,우위_연%,출렁임_연%,사후켈리,A_CAGR%,A_MDD%,B_CAGR%,B_MDD%,실측승자,예측승자,일치
1986,1986-01-02,2002-12-31,4291,12.588,5.044,11.556,30.445,1.247,14.792,-85.13,13.816,-92.66,A,A,1
1987,1987-01-02,2003-12-31,4290,14.693,4.746,13.821,30.869,1.45,18.616,-85.29,18.371,-92.68,A,A,1
1988,1988-01-04,2005-01-03,4290,14.444,4.482,13.615,30.096,1.503,19.453,-85.29,19.514,-92.68,B,A,0
1989,1989-01-03,2005-12-30,4288,14.114,4.275,13.498,30.018,1.498,19.326,-85.29,19.399,-92.68,B,A,0
1990,1990-01-02,2006-12-29,4287,12.78,4.079,12.533,30.086,1.385,17.43,-85.29,17.116,-92.68,A,A,1
1991,1991-01-02,2007-12-31,4285,14.799,3.892,14.459,29.971,1.61,20.309,-85.29,20.867,-92.68,B,A,0
1992,1992-01-02,2008-12-31,4285,7.888,3.652,8.883,31.282,0.908,11.183,-85.29,9.55,-92.68,A,A,1
1993,1993-01-04,2009-12-31,4283,10.216,3.456,11.302,31.583,1.133,15.58,-85.29,14.693,-92.68,A,A,1
1994,1994-01-03,2010-12-31,4282,10.68,3.283,11.919,31.668,1.188,16.533,-85.29,15.884,-92.68,A,A,1
1995,1995-01-03,2011-12-30,4282,10.815,3.033,12.367,31.933,1.213,16.745,-85.29,16.202,-92.68,A,A,1
1996,1996-01-02,2012-12-31,4280,9.311,2.713,11.244,31.703,1.119,14.723,-85.29,13.916,-92.68,A,A,1
1997,1997-01-02,2013-12-31,4278,9.116,2.419,11.25,31.379,1.143,15.39,-85.29,14.731,-92.68,A,A,1
1998,1998-01-02,2014-12-31,4277,8.814,2.123,11.107,30.872,1.165,15.854,-85.29,15.385,-92.68,A,A,1
1999,1999-01-04,2015-12-31,4277,5.484,1.847,8.047,30.17,0.884,10.473,-85.29,9.291,-92.68,A,A,1
2000,2000-01-03,2016-12-30,4277,1.478,1.593,4.164,29.309,0.485,4.117,-84.46,2.165,-92.2,A,A,1
2001,2001-01-02,2017-12-29,4276,6.69,1.311,8.522,25.902,1.27,10.545,-75.58,10.581,-84.75,B,A,0
2002,2002-01-02,2018-12-31,4279,8.388,1.229,9.454,22.872,1.807,13.171,-59.53,14.268,-69.91,B,B,1
2003,2003-01-02,2019-12-31,4279,13.418,1.256,13.498,20.687,3.154,19.67,-59.53,22.84,-69.91,B,B,1
2004,2004-01-02,2020-12-31,4280,13.654,1.216,13.95,21.639,2.979,19.112,-59.53,22.194,-69.91,B,B,1
2005,2005-01-03,2021-12-31,4280,14.632,1.138,14.882,21.645,3.176,20.946,-59.53,24.473,-69.91,B,B,1
2006,2006-01-03,2022-12-30,4279,11.66,1.07,12.575,22.789,2.421,17.606,-59.53,19.876,-69.91,B,B,1
2007,2007-01-03,2024-01-02,4279,14.094,1.088,14.748,22.902,2.812,22.242,-59.52,25.46,-69.91,B,B,1
2008,2008-01-02,2024-12-31,4279,14.675,1.124,15.216,22.875,2.908,23.171,-53.01,26.62,-63.96,B,B,1
2009,2009-01-02,2025-12-31,4276,19.271,1.28,18.633,21.189,4.15,27.748,-40.97,33.055,-50.74,B,B,1
