종료모드,창시작연도,시작일,종료일,길이년,딱지,거래일수,고도_버블,고도_백분위%,고도등급,NDX_고점대비%,NDX_CAGR%,현금_CAGR%,우위_연%,출렁임_연%,사후켈리,A_CAGR%,A_MDD%,B_CAGR%,B_MDD%,실측승자,규칙예측,일치
E1,2010,2010-01-04,2026-08-13,16.61,,4178,0.5679,9.1,저지대,-59.9,18.148,1.435,17.464,20.86,4.014,25.492,-40.97,30.308,-50.74,B,B,1
E1,2011,2011-01-03,2026-08-13,15.61,,3926,0.6211,21.0,저지대,-52.09,18.059,1.519,17.329,20.946,3.95,25.548,-40.97,30.268,-50.74,B,B,1
E1,2012,2012-01-03,2026-08-13,14.61,,3674,0.4836,5.6,저지대,-50.65,19.165,1.62,18.124,20.737,4.214,27.755,-40.97,32.978,-50.74,B,B,1
E1,2013,2013-01-02,2026-08-13,13.61,,3424,0.5334,21.0,저지대,-41.62,19.229,1.734,18.127,21.061,4.087,27.68,-40.97,32.79,-50.74,B,B,1
E1,2014,2014-01-02,2026-08-13,12.61,,3172,0.4913,11.2,저지대,-24.26,18.431,1.869,17.444,21.619,3.732,25.725,-40.97,30.288,-50.74,B,B,1
E1,2015,2015-01-02,2026-08-13,11.61,,2920,0.5124,26.9,저지대,-10.09,18.406,2.03,17.386,22.154,3.542,25.473,-40.97,29.822,-50.74,B,B,1
E1,2016,2016-01-04,2026-08-13,10.61,,2668,0.5307,44.0,저지대,-4.69,19.623,2.22,18.3,22.51,3.612,27.578,-40.97,32.272,-50.74,B,B,1
E1,2017,2017-01-03,2026-08-13,9.61,,2416,0.628,80.4,고지대,-1.1,20.763,2.422,19.189,23.082,3.602,29.456,-40.97,34.413,-50.74,B,A,0
E1,2018,2018-01-02,2026-08-13,8.61,,2165,0.7048,91.5,고지대,-0.03,19.452,2.596,18.174,24.127,3.122,26.489,-40.97,30.543,-50.74,B,A,0
E1,2019,2019-01-02,2026-08-13,7.61,,1914,0.75,94.8,고지대,-16.96,22.648,2.686,20.78,24.314,3.515,32.178,-40.97,37.585,-50.74,B,A,0
E1,2020,2020-01-02,2026-08-13,6.61,,1662,0.9463,99.9,고지대,0.0,20.283,2.784,18.984,25.3,2.966,27.354,-40.97,31.47,-50.74,B,A,0
E1,2021,2021-01-04,2026-08-13,5.6,,1409,0.7052,77.6,고지대,-1.5,16.644,3.231,14.843,22.756,2.866,24.619,-41.01,27.708,-50.76,B,A,0
E1,2022,2022-01-03,2026-08-13,4.61,참고,1157,0.7858,86.1,고지대,-0.43,13.921,3.936,11.994,23.583,2.157,20.657,-37.67,22.284,-47.51,B,A,0
E1,2023,2023-01-03,2026-08-13,3.61,참고,906,0.7176,71.6,저지대,-34.46,32.618,4.48,26.046,20.386,6.267,45.261,-30.77,54.965,-37.53,B,B,1
E1,2024,2024-01-02,2026-08-13,2.61,참고,656,0.8117,87.6,고지대,-2.15,25.728,4.273,21.041,21.167,4.696,29.732,-30.92,36.161,-37.64,B,A,0
E1,2025,2025-01-02,2026-08-13,1.61,참고,404,1.0454,98.2,고지대,-5.07,25.11,3.86,21.344,22.874,4.08,27.111,-28.92,33.046,-35.71,B,A,0
E2,2010,2010-01-04,2022-12-30,12.99,,3272,0.5679,9.1,저지대,-59.9,14.493,0.604,15.151,20.988,3.439,20.669,-40.06,24.386,-49.89,B,B,1
E2,2011,2011-01-03,2022-12-30,11.99,,3020,0.6211,21.0,저지대,-52.09,14.083,0.644,14.782,21.111,3.317,20.347,-40.06,23.857,-49.89,B,B,1
E2,2012,2012-01-03,2022-12-30,10.99,,2768,0.4836,5.6,저지대,-50.65,15.147,0.699,15.604,20.851,3.589,22.695,-40.06,26.71,-49.89,B,B,1
E2,2013,2013-01-02,2022-12-30,9.99,,2518,0.5334,21.0,저지대,-41.62,14.837,0.761,15.359,21.298,3.386,22.101,-40.06,25.857,-49.89,B,B,1
E2,2014,2014-01-02,2022-12-30,8.99,,2266,0.4913,11.2,저지대,-24.26,13.287,0.84,14.094,22.092,2.888,18.895,-40.06,21.816,-49.89,B,B,1
E2,2015,2015-01-02,2022-12-30,7.99,,2014,0.5124,26.9,저지대,-10.09,12.625,0.943,13.591,22.904,2.591,17.724,-40.06,20.169,-49.89,B,B,1
E2,2016,2016-01-04,2022-12-30,6.99,,1762,0.5307,44.0,저지대,-4.69,13.565,1.073,14.433,23.528,2.607,19.633,-40.06,22.262,-49.89,B,B,1
E2,2017,2017-01-03,2022-12-30,5.99,,1510,0.628,80.4,고지대,-1.1,14.311,1.203,15.21,24.559,2.522,21.165,-40.06,23.816,-49.89,B,A,0
E2,2018,2018-01-02,2022-12-30,4.99,참고,1259,0.7048,91.5,고지대,-0.03,10.955,1.258,12.67,26.494,1.805,14.886,-40.06,15.816,-49.89,B,A,0
E2,2019,2019-01-02,2022-12-30,3.99,참고,1008,0.75,94.8,고지대,-16.96,14.55,1.094,16.249,27.371,2.169,21.965,-40.06,24.24,-49.89,B,A,0
E2,2020,2020-01-02,2022-12-30,2.99,참고,756,0.9463,99.9,고지대,0.0,7.251,0.779,10.784,30.156,1.186,9.37,-40.06,8.602,-49.89,A,A,1
E2,2021,2021-01-04,2022-12-30,1.98,참고,503,0.7052,77.6,고지대,-1.5,-7.221,1.009,-4.961,26.466,-0.708,-4.784,-40.1,-9.194,-49.92,A,A,1
