모드,창시작연도,시작일,종료일,길이년,딱지,거래일수,재질,위기일수,위기일_방석_평균%,위기일_방석_최악%,주머니_MDD%,주머니_연변동성%,괴리_%p,참고_주머니_CAGR%,참고_방석_CAGR%
R1,1986,1986-01-02,2002-12-31,16.99,,4291,단기채,570,0.018,0.004,-85.13,39.3,0.0,14.792,18.468
R1,1986,1986-01-02,2002-12-31,16.99,,4291,금100,570,0.075,-4.177,-85.17,40.24,0.93,13.162,16.933
R1,1986,1986-01-02,2002-12-31,16.99,,4291,혼합,570,0.037,-1.374,-85.05,39.44,0.14,14.328,18.045
R1,1986,1986-01-02,2002-12-31,16.99,,4291,원자재,570,0.027,-3.692,-85.98,40.78,1.48,13.467,17.311
R1,1987,1987-01-02,2003-12-31,16.99,,4290,단기채,586,0.017,0.003,-85.29,40.22,0.0,18.616,14.624
R1,1987,1987-01-02,2003-12-31,16.99,,4290,금100,586,0.079,-4.177,-85.17,41.1,0.88,16.694,13.557
R1,1987,1987-01-02,2003-12-31,16.99,,4290,혼합,586,0.038,-1.374,-85.05,40.35,0.13,18.052,14.366
R1,1987,1987-01-02,2003-12-31,16.99,,4290,원자재,586,0.055,-3.692,-85.98,41.49,1.28,18.295,14.751
R1,1988,1988-01-04,2005-01-03,17.0,,4290,단기채,582,0.016,0.003,-85.29,38.68,0.0,19.453,19.561
R1,1988,1988-01-04,2005-01-03,17.0,,4290,금100,582,0.06,-4.177,-85.17,39.85,1.17,17.071,17.177
R1,1988,1988-01-04,2005-01-03,17.0,,4290,혼합,582,0.031,-1.374,-85.05,38.91,0.23,18.73,18.838
R1,1988,1988-01-04,2005-01-03,17.0,,4290,원자재,582,0.072,-3.692,-85.98,40.1,1.41,19.64,19.68
R1,1989,1989-01-03,2005-12-30,16.99,,4288,단기채,576,0.016,0.003,-85.29,38.46,0.0,19.326,19.746
R1,1989,1989-01-03,2005-12-30,16.99,,4288,금100,576,0.057,-4.177,-85.17,39.61,1.14,18.252,19.069
R1,1989,1989-01-03,2005-12-30,16.99,,4288,혼합,576,0.03,-1.374,-85.05,38.68,0.21,19.038,19.601
R1,1989,1989-01-03,2005-12-30,16.99,,4288,원자재,576,0.073,-3.692,-85.98,39.92,1.46,20.756,22.062
R1,1990,1990-01-02,2006-12-29,16.99,,4287,단기채,580,0.016,0.003,-85.29,38.37,0.0,17.43,17.571
R1,1990,1990-01-02,2006-12-29,16.99,,4287,금100,580,0.07,-4.177,-85.17,39.54,1.17,17.288,17.934
R1,1990,1990-01-02,2006-12-29,16.99,,4287,혼합,580,0.034,-1.374,-85.05,38.56,0.19,17.458,17.781
R1,1990,1990-01-02,2006-12-29,16.99,,4287,원자재,580,0.079,-3.692,-85.98,39.88,1.51,18.461,18.465
R1,1991,1991-01-02,2007-12-31,16.99,,4285,단기채,570,0.015,0.003,-85.29,38.66,0.0,20.309,19.413
R1,1991,1991-01-02,2007-12-31,16.99,,4285,금100,570,0.059,-3.425,-85.17,39.75,1.09,21.478,21.431
R1,1991,1991-01-02,2007-12-31,16.99,,4285,혼합,570,0.03,-1.133,-85.05,38.84,0.18,20.781,20.199
