모드,창시작연도,시나리오,시작일,종료일,길이년,딱지,최종주머니$,CAGR%,MDD%,최악연도손익$,KS발동,대피일수,방석완성개월,144도달일,세금총액$,위기일최악%
R1,1986,X0,1986-01-02,2002-12-31,16.99,,2079750.0,14.532,-69.27,-1995621.0,11,724,미도달,미도달,543725.0,-30.552
R1,1986,X30,1986-01-02,2002-12-31,16.99,,2079750.0,14.532,-69.27,-1995621.0,11,724,미도달,미도달,543725.0,-30.552
R1,1987,X0,1987-01-02,2003-12-31,16.99,,3400762.0,17.895,-69.21,-1807121.0,11,785,미도달,미도달,879271.0,-30.513
R1,1987,X30,1987-01-02,2003-12-31,16.99,,3400762.0,17.895,-69.21,-1807121.0,11,785,미도달,미도달,879271.0,-30.513
R1,1988,X0,1988-01-04,2005-01-03,17.0,,3249900.0,17.574,-66.31,-1869682.0,14,891,미도달,미도달,820279.0,-19.522
R1,1988,X30,1988-01-04,2005-01-03,17.0,,3249900.0,17.574,-66.31,-1869682.0,14,891,미도달,미도달,820279.0,-19.522
R1,1989,X0,1989-01-03,2005-12-30,16.99,,3068738.0,17.19,-66.21,-2020281.0,20,973,미도달,미도달,804117.0,-19.455
R1,1989,X30,1989-01-03,2005-12-30,16.99,,3068738.0,17.19,-66.21,-2020281.0,20,973,미도달,미도달,804117.0,-19.455
R1,1990,X0,1990-01-02,2006-12-29,16.99,,2532225.0,15.872,-66.34,-1513241.0,25,1066,미도달,미도달,619192.0,-19.539
R1,1990,X30,1990-01-02,2006-12-29,16.99,,2532225.0,15.872,-66.34,-1513241.0,25,1066,미도달,미도달,619192.0,-19.539
R1,1991,X0,1991-01-02,2007-12-31,16.99,,4671518.0,20.118,-66.62,-2213066.0,25,1066,미도달,미도달,1120582.0,-19.719
R1,1991,X30,1991-01-02,2007-12-31,16.99,,4671518.0,20.118,-66.62,-2213066.0,25,1066,미도달,미도달,1120582.0,-19.719
R1,1992,X0,1992-01-02,2008-12-31,17.0,,1916738.0,13.981,-66.4,-965064.0,26,1316,미도달,미도달,405747.0,-19.59
R1,1992,X30,1992-01-02,2008-12-31,17.0,,1916738.0,13.981,-66.4,-965064.0,26,1316,미도달,미도달,405747.0,-19.59
R1,1993,X0,1993-01-04,2009-12-31,16.99,,3349479.0,17.796,-66.61,-1018627.0,26,1398,미도달,미도달,752551.0,-19.692
R1,1993,X30,1993-01-04,2009-12-31,16.99,,3349479.0,17.796,-66.61,-1018627.0,26,1398,미도달,미도달,752551.0,-19.692
R1,1994,X0,1994-01-03,2010-12-31,16.99,,4063820.0,19.141,-66.57,-880023.0,26,1398,미도달,미도달,877484.0,-19.669
R1,1994,X30,1994-01-03,2010-12-31,16.99,,4063820.0,19.141,-66.57,-880023.0,26,1398,미도달,미도달,877484.0,-19.669
R1,1995,X0,1995-01-03,2011-12-30,16.99,,4497455.0,19.857,-66.52,-971885.0,26,1398,미도달,미도달,925968.0,-19.637
R1,1995,X30,1995-01-03,2011-12-30,16.99,,4497455.0,19.857,-66.52,-971885.0,26,1398,미도달,미도달,925968.0,-19.637
R1,1996,X0,1996-01-02,2012-12-31,17.0,,3404122.0,17.899,-66.42,-556591.0,26,1398,미도달,미도달,717868.0,-19.586
R1,1996,X30,1996-01-02,2012-12-31,17.0,,3404122.0,17.899,-66.42,-556591.0,26,1398,미도달,미도달,717868.0,-19.586
