출처,시작일,종료일,길이년,R4_CAGR%,R4_MDD%,R4_배수,R4_적립누계$,R4_KS,R4_대피일수,FAST_CAGR%,FAST_MDD%,FAST_배수,VR_CAGR%,VR_MDD%,VR_배수,TQQQ_CAGR%,TQQQ_MDD%,TQQQ_배수,QQQ_CAGR%,QQQ_MDD%,QQQ_배수
FAST,1986-08-11,2018-12-31,32.39,17.701,-69.27,196.099,0.0,26,1398,17.318,-68.46,176.455,19.313,-90.15,304.636,5.821,-99.98,6.249,12.694,-82.96,47.979
FAST,1986-08-11,2020-12-31,34.39,20.371,-69.27,587.755,0.0,26,1398,20.137,-68.46,549.728,20.266,-90.15,570.369,10.469,-99.98,30.695,14.294,-82.96,98.946
FAST,1986-08-11,2021-12-31,35.39,21.03,-69.27,858.03,0.0,26,1398,20.766,-68.46,794.327,21.265,-90.15,919.198,12.056,-99.98,56.166,14.646,-82.96,126.076
FAST,1986-08-11,2022-12-30,36.39,18.639,-69.27,502.158,0.0,26,1398,18.253,-68.46,445.99,19.872,-90.15,731.515,7.004,-99.98,11.744,12.987,-82.96,85.004
FAST,1986-08-11,2024-12-31,38.39,21.032,-69.27,1522.445,0.0,26,1398,20.686,-68.46,1363.833,22.023,-90.15,2082.076,11.024,-99.98,55.399,14.231,-82.96,165.304
FAST,1986-08-11,2026-07-10,39.91,21.828,-69.27,2644.269,0.0,26,1398,21.626,-68.46,2474.996,21.86,-90.15,2672.893,12.478,-99.98,109.183,14.675,-82.96,236.336
FAST,1994-01-02,2018-12-31,24.99,20.394,-66.57,103.373,0.0,26,1398,19.61,-67.25,87.806,25.057,-78.59,267.207,4.346,-99.98,2.896,12.171,-82.96,17.642
FAST,1994-01-02,2020-12-31,26.99,23.567,-66.57,302.45,0.0,26,1398,23.108,-67.25,273.556,25.892,-78.59,500.292,10.335,-99.98,14.223,14.242,-82.96,36.383
FAST,1994-01-02,2021-12-31,27.99,24.334,-66.57,444.333,0.0,26,1398,23.815,-67.25,395.275,27.009,-78.59,806.264,12.348,-99.98,26.025,14.689,-82.96,46.359
FAST,1994-01-02,2022-12-30,28.99,21.249,-66.57,266.497,0.0,26,1398,20.486,-67.25,221.937,24.98,-78.59,641.64,6.018,-99.98,5.442,12.608,-82.96,31.257
FAST,1994-01-02,2024-12-31,30.99,24.091,-66.57,803.987,0.0,26,1398,23.415,-67.25,678.683,27.42,-78.59,1826.271,11.039,-99.98,25.67,14.171,-82.96,60.784
FAST,1994-01-02,2026-07-10,32.51,24.846,-66.57,1360.116,0.0,26,1398,24.465,-67.25,1231.633,26.954,-78.59,2344.501,12.826,-99.98,50.591,14.719,-82.96,86.903
FAST,1998-01-02,2018-12-31,20.99,21.964,-66.1,64.62,0.0,22,1347,21.367,-67.23,58.286,25.311,-78.48,114.067,-2.753,-99.98,0.557,9.653,-82.96,6.921
FAST,1998-01-02,2020-12-31,23.0,25.758,-66.1,194.453,0.0,22,1347,25.384,-67.23,181.59,26.272,-78.48,213.573,4.47,-99.98,2.734,12.255,-82.96,14.273
