창,점,FAST시작$,VR시작$,VR비중%,CAGR%,MDD%,최종배수,세금총액$,KS발동,대피일수,위기일최악%,참고
1986,P0,207300.0,0.0,0.0,14.577,-68.46,10.099,545912.0,11,724,-30.191,FAST 단독(정본 대조점)
1986,P1,200000.0,7300.0,3.52,14.532,-69.27,10.033,543725.0,11,724,-30.552,현행(회귀 대조점)
1986,P2,186570.0,20730.0,10.0,14.426,-70.83,9.875,539911.0,11,724,-31.216,
1986,P3,165840.0,41460.0,20.0,14.223,-73.21,9.582,532988.0,11,724,-32.238,
1986,P4,145110.0,62190.0,30.0,14.01,-75.56,9.282,525936.0,11,724,-33.258,
1986,P5,124380.0,82920.0,40.0,13.789,-77.88,8.982,518932.0,11,724,-34.276,나스닥 노출 금액 동일(기존 정지선 위치)
1986,P6,103650.0,103650.0,50.0,13.562,-80.16,8.681,512058.0,11,724,-35.291,
1986,P7,82920.0,124380.0,60.0,13.312,-82.41,8.363,504126.0,11,724,-36.304,
1986,P8,62190.0,145110.0,70.0,12.568,-84.62,7.478,540787.0,11,724,-37.314,
1986,P9,41460.0,165840.0,80.0,12.506,-86.81,7.407,593009.0,11,724,-38.322,
1986,P10,20730.0,186570.0,90.0,12.429,-88.96,7.321,595270.0,11,724,-39.328,
1986,P11,0.0,207300.0,100.0,12.241,-90.3,7.117,581441.0,0,0,-40.264,VR 단독(정본 대조점)
1987,P0,207300.0,0.0,0.0,17.895,-68.45,16.406,876173.0,11,785,-30.181,FAST 단독(정본 대조점)
1987,P1,200000.0,7300.0,3.52,17.895,-69.21,16.405,879271.0,11,785,-30.513,현행(회귀 대조점)
1987,P2,186570.0,20730.0,10.0,17.876,-70.65,16.361,884619.0,11,785,-31.126,
1987,P3,165840.0,41460.0,20.0,17.813,-72.9,16.212,889954.0,11,785,-32.078,
1987,P4,145110.0,62190.0,30.0,17.747,-75.15,16.058,895134.0,11,785,-33.037,
1987,P5,124380.0,82920.0,40.0,17.68,-77.38,15.904,900363.0,11,785,-34.003,나스닥 노출 금액 동일(기존 정지선 위치)
1987,P6,103650.0,103650.0,50.0,17.612,-79.6,15.749,905667.0,11,785,-34.976,
1987,P7,82920.0,124380.0,60.0,17.543,-81.82,15.593,910971.0,11,785,-35.956,
1987,P8,62190.0,145110.0,70.0,17.122,-84.03,14.67,926808.0,11,785,-36.943,
1987,P9,41460.0,165840.0,80.0,16.96,-86.22,14.329,966601.0,11,785,-37.937,
1987,P10,20730.0,186570.0,90.0,16.877,-88.41,14.156,970292.0,11,785,-38.939,
1987,P11,0.0,207300.0,100.0,16.638,-90.09,13.673,939249.0,0,0,-39.948,VR 단독(정본 대조점)
1988,P0,207300.0,0.0,0.0,17.54,-65.57,15.598,811251.0,14,891,-19.055,FAST 단독(정본 대조점)
1988,P1,200000.0,7300.0,3.52,17.574,-66.31,15.677,820279.0,14,891,-19.522,현행(회귀 대조점)
1988,P2,186570.0,20730.0,10.0,17.604,-67.61,15.745,835460.0,14,891,-20.367,
1988,P3,165840.0,41460.0,20.0,17.627,-69.43,15.797,857245.0,14,891,-21.63,
1988,P4,145110.0,62190.0,30.0,17.636,-71.07,15.818,878058.0,14,891,-22.851,
1988,P5,124380.0,82920.0,40.0,17.643,-72.56,15.833,898807.0,14,891,-24.032,나스닥 노출 금액 동일(기존 정지선 위치)
