세계,창시작연도,팔,시작일,종료일,길이년,CAGR%,MDD%,최종$,세금총액$,위기일최악%,KS발동,대피일수,VR최종비중%,2단계전환
옛,1986,E,1986-01-02,2002-12-31,16.99,13.117,-62.23,1683588.0,422217.0,-26.513,11,724,12.89,1990-09-28
옛,1986,F,1986-01-02,2002-12-31,16.99,13.258,-62.82,1719745.0,427517.0,-25.68,11,724,,해당없음
옛,1986,C,1986-01-02,2002-12-31,16.99,14.577,-68.46,2093468.0,545912.0,-30.191,11,724,,해당없음
옛,1987,E,1987-01-02,2003-12-31,16.99,16.001,-61.9,2582483.0,653323.0,-26.332,11,785,16.6,1990-09-28
옛,1987,F,1987-01-02,2003-12-31,16.99,16.007,-62.81,2584932.0,634409.0,-25.669,11,785,,해당없음
옛,1987,C,1987-01-02,2003-12-31,16.99,17.895,-68.45,3400890.0,876173.0,-30.181,11,785,,해당없음
옛,1988,E,1988-01-04,2005-01-03,17.0,15.689,-61.48,2468975.0,615448.0,-18.267,14,891,19.55,1990-09-28
옛,1988,F,1988-01-04,2005-01-03,17.0,15.557,-59.65,2421613.0,574481.0,-16.169,14,891,,해당없음
옛,1988,C,1988-01-04,2005-01-03,17.0,17.54,-65.57,3233567.0,811251.0,-19.055,14,891,,해당없음
옛,1989,E,1989-01-03,2005-12-30,16.99,15.134,-60.83,2271751.0,585332.0,-18.003,20,973,13.78,1990-09-28
옛,1989,F,1989-01-03,2005-12-30,16.99,15.762,-59.65,2491626.0,584277.0,-16.169,20,973,,해당없음
옛,1989,C,1989-01-03,2005-12-30,16.99,17.27,-65.57,3104200.0,803491.0,-19.055,20,973,,해당없음
옛,1990,E,1990-01-02,2006-12-29,16.99,14.234,-61.43,1988177.0,492545.0,-18.229,25,1066,14.89,1990-09-28
옛,1990,F,1990-01-02,2006-12-29,16.99,14.926,-59.64,2202916.0,463516.0,-16.169,25,1066,,해당없음
옛,1990,C,1990-01-02,2006-12-29,16.99,15.945,-65.56,2559311.0,612448.0,-19.055,25,1066,,해당없음
옛,1991,E,1991-01-02,2007-12-31,16.99,17.677,-63.79,3295370.0,829808.0,-19.249,25,1066,23.03,미발생
옛,1991,F,1991-01-02,2007-12-31,16.99,18.634,-59.65,3781714.0,766761.0,-16.169,25,1066,,해당없음
옛,1991,C,1991-01-02,2007-12-31,16.99,20.151,-65.57,4693215.0,1091544.0,-19.055,25,1066,,해당없음
