창시작연도,비중%,CAGR%,MDD%
1986,12,9.794,-28.3
1986,24,12.809,-54.85
1986,36,14.439,-73.08
1986,48,14.792,-85.13
1986,60,13.816,-92.66
1986,72,11.27,-96.96
1986,84,6.554,-99.08
1986,100,-6.696,-99.95
1987,12,10.688,-28.47
1987,24,14.793,-55.22
1987,36,17.402,-73.39
1987,48,18.616,-85.29
1987,60,18.371,-92.68
1987,72,16.406,-96.96
1987,84,12.073,-99.08
1987,100,-1.22,-99.95
1988,12,10.662,-28.47
1988,24,15.036,-55.22
1988,36,17.936,-73.39
1988,48,19.453,-85.29
1988,60,19.514,-92.68
1988,72,17.844,-96.96
1988,84,13.774,-99.08
1988,100,0.671,-99.95
1989,12,10.478,-28.47
1989,24,14.875,-55.22
1989,36,17.794,-73.39
1989,48,19.326,-85.29
1989,60,19.399,-92.68
1989,72,17.737,-96.96
1989,84,13.671,-99.08
1989,100,0.571,-99.95
1990,12,9.86,-28.47
1990,24,13.824,-55.22
1990,36,16.313,-73.39
1990,48,17.43,-85.29
1990,60,17.116,-92.68
1990,72,15.112,-96.96
1990,84,10.779,-99.08
1990,100,-2.415,-99.95
1991,12,10.344,-28.47
1991,24,15.052,-55.22
1991,36,18.344,-73.39
1991,48,20.309,-85.29
1991,60,20.867,-92.68
1991,72,19.731,-96.96
1991,84,16.204,-99.08
1991,100,3.669,-99.95
1992,12,7.809,-28.47
1992,24,10.292,-55.22
1992,36,11.396,-73.39
1992,48,11.183,-85.29
1992,60,9.55,-92.68
1992,72,6.184,-96.96
1992,84,0.362,-99.17
1992,100,-15.263,-99.98
1993,12,9.0,-28.47
1993,24,12.707,-55.22
1993,36,14.88,-73.39
1993,48,15.58,-85.29
1993,60,14.693,-92.68
1993,72,11.881,-97.37
1993,84,6.362,-99.38
1993,100,-9.568,-99.98
1994,12,9.114,-28.47
1994,24,13.113,-55.22
1994,36,15.568,-73.39
1994,48,16.533,-85.29
1994,60,15.884,-92.68
1994,72,13.271,-97.37
1994,84,7.889,-99.38
1994,100,-8.047,-99.98
1995,12,8.981,-28.47
1995,24,13.097,-55.22
1995,36,15.669,-73.39
1995,48,16.745,-85.29
1995,60,16.202,-92.68
1995,72,13.682,-97.37
1995,84,8.375,-99.38
1995,100,-7.527,-99.98
1996,12,8.146,-28.47
1996,24,11.804,-55.22
1996,36,13.978,-73.39
1996,48,14.723,-85.29
1996,60,13.916,-92.68
1996,72,11.214,-97.37
1996,84,5.829,-99.38
1996,100,-9.888,-99.98
1997,12,8.152,-28.47
1997,24,12.068,-55.22
1997,36,14.462,-73.39
1997,48,15.39,-85.29
1997,60,14.731,-92.68
1997,72,12.137,-97.37
1997,84,6.813,-99.38
1997,100,-8.947,-99.98
1998,12,8.011,-28.47
1998,24,12.122,-55.22
1998,36,14.723,-73.39
1998,48,15.854,-85.29
1998,60,15.385,-92.68
1998,72,12.955,-97.37
1998,84,7.754,-99.38
1998,100,-7.972,-99.98
1999,12,6.048,-28.47
1999,24,8.787,-55.22
1999,36,10.259,-73.39
1999,48,10.473,-85.29
1999,60,9.291,-92.68
1999,72,6.37,-97.37
1999,84,0.955,-99.38
1999,100,-14.293,-99.98
2000,12,3.628,-27.22
2000,24,4.73,-53.75
2000,36,4.915,-72.17
2000,48,4.117,-84.46
2000,60,2.165,-92.2
2000,72,-1.278,-97.19
2000,84,-6.929,-99.34
2000,100,-21.879,-99.98
2001,12,4.895,-24.34
2001,24,7.62,-46.44
2001,36,9.516,-63.11
2001,48,10.545,-75.58
2001,60,10.581,-84.75
2001,72,9.37,-92.59
2001,84,6.384,-97.28
2001,100,-2.941,-99.71
2002,12,5.311,-17.16
2002,24,8.641,-33.45
2002,36,11.266,-47.46
2002,48,13.171,-59.53
2002,60,14.268,-69.91
2002,72,14.361,-78.83
2002,84,13.014,-86.42
2002,100,6.689,-97.03
2003,12,6.742,-17.16
2003,24,11.608,-33.45
2003,36,15.913,-47.46
2003,48,19.67,-59.53
2003,60,22.84,-69.91
2003,72,25.311,-78.83
2003,84,26.814,-86.42
2003,100,25.778,-94.74
2004,12,6.54,-17.16
2004,24,11.269,-33.45
2004,36,15.457,-47.46
2004,48,19.112,-59.53
2004,60,22.194,-69.91
2004,72,24.59,-78.83
2004,84,26.032,-86.42
2004,100,24.945,-94.74
2005,12,6.952,-17.16
2005,24,12.165,-33.45
2005,36,16.829,-47.46
2005,48,20.946,-59.53
2005,60,24.473,-69.91
2005,72,27.29,-78.83
2005,84,29.117,-86.42
2005,100,28.439,-94.74
2006,12,6.277,-17.16
2006,24,10.755,-33.45
2006,36,14.538,-47.46
2006,48,17.606,-59.53
2006,60,19.876,-69.91
2006,72,21.172,-78.83
2006,84,21.127,-86.42
2006,100,17.151,-94.74
2007,12,7.582,-17.14
2007,24,13.252,-33.44
2007,36,18.144,-47.45
2007,48,22.242,-59.52
2007,60,25.46,-69.91
2007,72,27.61,-78.82
2007,84,28.293,-86.42
2007,100,24.95,-94.74
2008,12,7.831,-13.84
2008,24,13.723,-27.96
2008,36,18.843,-41.02
2008,48,23.171,-53.01
2008,60,26.62,-63.96
2008,72,29.001,-73.85
2008,84,29.921,-82.7
2008,100,26.979,-92.88
2009,12,8.716,-10.9
2009,24,15.577,-20.98
2009,36,21.915,-30.88
2009,48,27.748,-40.97
2009,60,33.055,-50.74
2009,72,37.769,-60.22
2009,84,41.751,-69.46
2009,100,45.334,-81.66
