종료모드,창시작연도,비중%,CAGR%,MDD%
E1,2010,12,8.183,-10.9
E1,2010,24,14.42,-20.98
E1,2010,36,20.188,-30.88
E1,2010,48,25.492,-40.97
E1,2010,60,30.308,-50.74
E1,2010,72,34.565,-60.22
E1,2010,84,38.122,-69.46
E1,2010,100,41.191,-81.66
E1,2011,12,8.315,-10.9
E1,2011,24,14.562,-20.98
E1,2011,36,20.304,-30.88
E1,2011,48,25.548,-40.97
E1,2011,60,30.268,-50.74
E1,2011,72,34.391,-60.22
E1,2011,84,37.766,-69.46
E1,2011,100,40.491,-81.66
E1,2012,12,8.945,-10.9
E1,2012,24,15.722,-20.98
E1,2012,36,21.992,-30.88
E1,2012,48,27.755,-40.97
E1,2012,60,32.978,-50.74
E1,2012,72,37.574,-60.22
E1,2012,84,41.373,-69.46
E1,2012,100,44.514,-81.66
E1,2013,12,9.042,-10.9
E1,2013,24,15.785,-20.98
E1,2013,36,21.998,-30.88
E1,2013,48,27.68,-40.97
E1,2013,60,32.79,-50.74
E1,2013,72,37.237,-60.22
E1,2013,84,40.839,-69.46
E1,2013,100,43.599,-81.66
E1,2014,12,8.667,-10.9
E1,2014,24,14.891,-20.98
E1,2014,36,20.578,-30.88
E1,2014,48,25.725,-40.97
E1,2014,60,30.288,-50.74
E1,2014,72,34.174,-60.22
E1,2014,84,37.192,-69.46
E1,2014,100,39.117,-81.66
E1,2015,12,8.794,-10.9
E1,2015,24,14.936,-20.98
E1,2015,36,20.496,-30.88
E1,2015,48,25.473,-40.97
E1,2015,60,29.822,-50.74
E1,2015,72,33.443,-60.22
E1,2015,84,36.135,-69.46
E1,2015,100,37.483,-81.66
E1,2016,12,9.527,-10.9
E1,2016,24,16.173,-20.98
E1,2016,36,22.193,-30.88
E1,2016,48,27.578,-40.97
E1,2016,60,32.272,-50.74
E1,2016,72,36.159,-60.22
E1,2016,84,39.011,-69.46
E1,2016,100,40.308,-81.66
E1,2017,12,10.223,-10.9
E1,2017,24,17.318,-20.98
E1,2017,36,23.736,-30.88
E1,2017,48,29.456,-40.97
E1,2017,60,34.413,-50.74
E1,2017,72,38.469,-60.22
E1,2017,84,41.366,-69.46
E1,2017,100,42.422,-81.66
E1,2018,12,9.687,-10.9
E1,2018,24,16.019,-20.98
E1,2018,36,21.625,-30.88
E1,2018,48,26.489,-40.97
E1,2018,60,30.543,-50.74
E1,2018,72,33.646,-60.22
E1,2018,84,35.532,-69.46
E1,2018,100,35.118,-81.66
E1,2019,12,11.148,-10.9
E1,2019,24,18.886,-20.98
E1,2019,36,25.91,-30.88
E1,2019,48,32.178,-40.97
E1,2019,60,37.585,-50.74
E1,2019,72,41.942,-60.22
E1,2019,84,44.904,-69.46
E1,2019,100,45.379,-81.66
E1,2020,12,10.047,-10.46
E1,2020,24,16.565,-20.41
E1,2020,36,22.35,-30.88
E1,2020,48,27.354,-40.97
E1,2020,60,31.47,-50.74
E1,2020,72,34.498,-60.22
E1,2020,84,36.08,-69.46
E1,2020,100,34.593,-81.66
E1,2021,12,9.841,-9.82
E1,2021,24,15.605,-20.47
E1,2021,36,20.546,-30.93
E1,2021,48,24.619,-41.01
E1,2021,60,27.708,-50.76
E1,2021,72,29.603,-60.24
E1,2021,84,29.918,-69.47
E1,2021,100,26.45,-81.66
E1,2022,12,9.566,-8.27
E1,2022,24,14.218,-17.9
E1,2022,36,17.928,-27.8
E1,2022,48,20.657,-37.67
E1,2022,60,22.284,-47.51
E1,2022,72,22.577,-57.3
E1,2022,84,21.115,-67.06
E1,2022,100,14.846,-80.25
E1,2023,12,15.14,-7.85
E1,2023,24,25.413,-15.99
E1,2023,36,35.427,-23.63
E1,2023,48,45.261,-30.77
E1,2023,60,54.965,-37.53
E1,2023,72,64.574,-43.97
E1,2023,84,74.115,-50.15
E1,2023,100,86.758,-58.04
E1,2024,12,10.599,-7.88
E1,2024,24,16.951,-16.16
E1,2024,36,23.328,-23.79
E1,2024,48,29.732,-30.92
E1,2024,60,36.161,-37.64
E1,2024,72,42.617,-44.05
E1,2024,84,49.099,-50.19
E1,2024,100,57.783,-58.04
E1,2025,12,9.597,-7.19
E1,2025,24,15.385,-14.68
E1,2025,36,21.223,-21.92
E1,2025,48,27.111,-28.92
E1,2025,60,33.046,-35.71
E1,2025,72,39.029,-42.28
E1,2025,84,45.057,-48.65
E1,2025,100,53.165,-56.84
E2,2010,12,6.385,-10.9
E2,2010,24,11.646,-20.98
E2,2010,36,16.41,-30.29
E2,2010,48,20.669,-40.06
E2,2010,60,24.386,-49.89
E2,2010,72,27.473,-59.56
E2,2010,84,29.762,-69.1
E2,2010,100,30.9,-81.66
E2,2011,12,6.405,-10.9
E2,2011,24,11.598,-20.98
E2,2011,36,16.247,-30.29
E2,2011,48,20.347,-40.06
E2,2011,60,23.857,-49.89
E2,2011,72,26.686,-59.56
E2,2011,84,28.658,-69.1
E2,2011,100,29.241,-81.66
E2,2012,12,7.054,-10.9
E2,2012,24,12.833,-20.98
E2,2012,36,18.051,-30.29
E2,2012,48,22.695,-40.06
E2,2012,60,26.71,-49.89
E2,2012,72,29.99,-59.56
E2,2012,84,32.329,-69.1
E2,2012,100,33.169,-81.66
E2,2013,12,6.997,-10.9
E2,2013,24,12.631,-20.98
E2,2013,36,17.672,-30.29
E2,2013,48,22.101,-40.06
E2,2013,60,25.857,-49.89
E2,2013,72,28.825,-59.56
E2,2013,84,30.781,-69.1
E2,2013,100,30.946,-81.66
E2,2014,12,6.258,-10.9
E2,2014,24,11.073,-20.98
E2,2014,36,15.293,-30.29
E2,2014,48,18.895,-40.06
E2,2014,60,21.816,-49.89
E2,2014,72,23.936,-59.56
E2,2014,84,25.022,-69.1
E2,2014,100,23.972,-81.66
E2,2015,12,6.14,-10.9
E2,2015,24,10.666,-20.98
E2,2015,36,14.535,-30.29
E2,2015,48,17.724,-40.06
E2,2015,60,20.169,-49.89
E2,2015,72,21.742,-59.56
E2,2015,84,22.198,-69.1
E2,2015,100,20.119,-81.66
E2,2016,12,6.848,-10.9
E2,2016,24,11.869,-20.98
E2,2016,36,16.142,-30.29
E2,2016,48,19.633,-40.06
E2,2016,60,22.262,-49.89
E2,2016,72,23.877,-59.56
E2,2016,84,24.193,-69.1
E2,2016,100,21.503,-81.66
E2,2017,12,7.494,-10.9
E2,2017,24,12.93,-20.98
E2,2017,36,17.503,-30.29
E2,2017,48,21.165,-40.06
E2,2017,60,23.816,-49.89
E2,2017,72,25.274,-59.56
E2,2017,84,25.209,-69.1
E2,2017,100,21.5,-81.66
E2,2018,12,6.062,-10.9
E2,2018,24,9.941,-20.98
E2,2018,36,12.896,-30.29
E2,2018,48,14.886,-40.06
E2,2018,60,15.816,-49.89
E2,2018,72,15.509,-59.56
E2,2018,84,13.641,-69.1
E2,2018,100,7.487,-81.66
E2,2019,12,7.861,-10.9
E2,2019,24,13.638,-20.98
E2,2019,36,18.374,-30.29
E2,2019,48,21.965,-40.06
E2,2019,60,24.24,-49.89
E2,2019,72,24.92,-59.56
E2,2019,84,23.524,-69.1
E2,2019,100,16.706,-81.66
E2,2020,12,4.461,-10.46
E2,2020,24,7.166,-20.27
E2,2020,36,8.837,-30.03
E2,2020,48,9.37,-40.06
E2,2020,60,8.602,-49.89
E2,2020,72,6.27,-59.56
E2,2020,84,1.932,-69.1
E2,2020,100,-8.534,-81.66
E2,2021,12,1.197,-9.82
E2,2021,24,0.319,-20.03
E2,2021,36,-1.652,-30.08
E2,2021,48,-4.784,-40.1
E2,2021,60,-9.194,-49.92
E2,2021,72,-15.078,-59.58
E2,2021,84,-22.768,-69.11
E2,2021,100,-36.965,-81.66
